date,station,line,division,daily_ridership
2016-07-31,59 ST,NQR456,RIT,7965
2016-08-01,59 ST,NQR456,RIT,15594
2016-08-02,59 ST,NQR456,RIT,17262
2016-08-03,59 ST,NQR456,RIT,17538
2016-08-04,59 ST,NQR456,RIT,17523
2016-08-05,59 ST,NQR456,RIT,17371
2016-08-06,59 ST,NQR456,RIT,10450
2016-08-07,59 ST,NQR456,RIT,8097
2016-08-08,59 ST,NQR456,RIT,15699
2016-08-09,59 ST,NQR456,RIT,17188
2016-08-10,59 ST,NQR456,RIT,17107
2016-08-11,59 ST,NQR456,RIT,17022
2016-08-12,59 ST,NQR456,RIT,16503
2016-08-13,59 ST,NQR456,RIT,10069
2016-08-14,59 ST,NQR456,RIT,8405
2016-08-15,59 ST,NQR456,RIT,14988
2016-08-16,59 ST,NQR456,RIT,16675
2016-08-17,59 ST,NQR456,RIT,16860
2016-08-18,59 ST,NQR456,RIT,16859
2016-08-19,59 ST,NQR456,RIT,16410
2016-08-20,59 ST,NQR456,RIT,9579
2016-08-21,59 ST,NQR456,RIT,7860
2016-08-22,59 ST,NQR456,RIT,15188
2016-08-23,59 ST,NQR456,RIT,16724
2016-08-24,59 ST,NQR456,RIT,16741
2016-08-25,59 ST,NQR456,RIT,16815
2016-08-26,59 ST,NQR456,RIT,16494
2016-08-27,59 ST,NQR456,RIT,9917
2016-08-28,59 ST,NQR456,RIT,7896
2016-08-29,59 ST,NQR456,RIT,15462
2016-08-30,59 ST,NQR456,RIT,16622
2016-08-31,59 ST,NQR456,RIT,16557
2016-09-01,59 ST,NQR456,RIT,16464
2016-09-02,59 ST,NQR456,RIT,15919
2016-09-03,59 ST,NQR456,RIT,9336
2016-09-04,59 ST,NQR456,RIT,7303
2016-09-05,59 ST,NQR456,RIT,7105
2016-09-06,59 ST,NQR456,RIT,15694
2016-09-07,59 ST,NQR456,RIT,17425
2016-09-08,59 ST,NQR456,RIT,18063
2016-09-09,59 ST,NQR456,RIT,17826
2016-09-10,59 ST,NQR456,RIT,10689
2016-09-11,59 ST,NQR456,RIT,8339
2016-09-12,59 ST,NQR456,RIT,16101
2016-09-13,59 ST,NQR456,RIT,18075
2016-09-14,59 ST,NQR456,RIT,18213
2016-09-15,59 ST,NQR456,RIT,18419
2016-09-16,59 ST,NQR456,RIT,18315
2016-09-17,59 ST,NQR456,RIT,11264
2016-09-18,59 ST,NQR456,RIT,8633
2016-09-19,59 ST,NQR456,RIT,16996
2016-09-20,59 ST,NQR456,RIT,19080
2016-09-21,59 ST,NQR456,RIT,19186
2016-09-22,59 ST,NQR456,RIT,18863
2016-09-23,59 ST,NQR456,RIT,18736
2016-09-24,59 ST,NQR456,RIT,11509
2016-09-25,59 ST,NQR456,RIT,8906
