station,line,division,long,lat
1 AV,L,BMT,-73.98168087,40.73097498
103 ST,1,IRT,-73.968379,40.799446
103 ST,6,IRT,-73.947478,40.7906
103 ST,BC,IND,-73.96137008,40.79606074
103 ST-CORONA,7,IRT,-73.8627,40.749865
104 ST,A,IND,-73.837683,40.681711
104 ST,JZ,BMT,-73.844435,40.695166
110 ST,6,IRT,-73.94425,40.79502
111 ST,7,IRT,-73.855334,40.75173
111 ST,A,IND,-73.832163,40.684331
111 ST,J,BMT,-73.83679338,40.69711481
116 ST,6,IRT,-73.941617,40.798629
116 ST,23,IRT,-73.949625,40.802098
116 ST,BC,IND,-73.95479778,40.80505813
116 ST-COLUMBIA,1,IRT,-73.96411,40.807722
121 ST,JZ,BMT,-73.828349,40.700482
125 ST,1,IRT,-73.958372,40.815581
125 ST,23,IRT,-73.945495,40.807754
125 ST,456,IRT,-73.937594,40.804138
125 ST,ACBD,IND,-73.952248,40.81107167
135 ST,23,IRT,-73.94077,40.814229
135 ST,BC,IND,-73.94753481,40.81790556
137 ST CITY COL,1,IRT,-73.953676,40.822008
138/GRAND CONC,45,IRT,-73.929849,40.813224
14 ST,123FLM,IRT,-74.000201,40.737826
14 ST,ACEL,IND,-74.00169,40.740893
14 ST,FLM123,IND,-73.996209,40.738228
14 ST-UNION SQ,456LNQR,IRT,-73.989951,40.734673
14 ST-UNION SQ,LNQR456,BMT,-73.99053886,40.73587227
145 ST,1,IRT,-73.95036,40.826551
145 ST,3,IRT,-73.936245,40.820421
145 ST,ABCD,IND,-73.94408793,40.82476636
149/GRAND CONC,245,IRT,-73.92738475,40.81830344
14TH STREET,1,PTH,-74.0003941,40.7364681
15 ST-PROSPECT,FG,IND,-73.97973581,40.66003569
155 ST,BD,IND,-73.938209,40.830135
155 ST,C,IND,-73.941514,40.830518
157 ST,1,IRT,-73.94489,40.834041
161/YANKEE STAD,4BD,IRT,-73.925692,40.82823033
161/YANKEE STAD,BD4,IND,-73.925651,40.827905
163 ST-AMSTERDM,C,IND,-73.939892,40.836013
167 ST,4,IRT,-73.9214,40.835537
167 ST,BD,IND,-73.918432,40.833769
168 ST,1AC,IRT,-73.940133,40.840556
168 ST,AC1,IND,-73.939561,40.840719
169 ST,F,IND,-73.7934742,40.7105175
170 ST,4,IRT,-73.917791,40.840075
170 ST,BD,IND,-73.9134,40.839306
174 ST,25,IRT,-73.8876936,40.83719555
174-175 STS,BD,IND,-73.910136,40.8459
175 ST,A,IND,-73.939704,40.847391
176 ST,4,IRT,-73.911794,40.84848
18 AV,D,BMT,-74.00159259,40.60773573
18 AV,F,IND,-73.976971,40.62975467
18 AV,N,BMT,-73.990454,40.620687
18 ST,1,IRT,-73.997871,40.74104
181 ST,1,IRT,-73.933596,40.849505
181 ST,A,IND,-73.937969,40.851695
182-183 STS,BD,IND,-73.900741,40.856093
183 ST,4,IRT,-73.903879,40.858407
190 ST,A,IND,-73.93418,40.859022
191 ST,1,IRT,-73.929412,40.855225
2 AV,F,IND,-74.0332249,40.7365319
20 AV,D,BMT,-73.99817432,40.604677
20 AV,N,BMT,-73.984522,40.617109
207 ST,1,IRT,-73.918819,40.864614
21 ST,G,IND,-73.9496,40.74412867
21 ST-QNSBRIDGE,F,IND,-73.94193761,40.75373927
215 ST,1,IRT,-73.915279,40.869444
219 ST,25,IRT,-73.86250971,40.88388797
225 ST,25,IRT,-73.86021462,40.88802826
23 ST,1,IRT,-73.995657,40.744081
23 ST,6,IRT,-73.986599,40.739864
23 ST,CE,IND,-73.998041,40.745906
23 ST,FM,IND,-73.992765,40.74295432
23 ST,NR,BMT,-73.989344,40.74130267
231 ST,1,IRT,-73.904834,40.878856
233 ST,25,IRT,-73.8573624,40.89314324
238 ST,1,IRT,-73.90087,40.884667
25 AV,D,BMT,-73.986829,40.59770367
25 ST,R,BMT,-73.998091,40.66039667
28 ST,1,IRT,-73.993365,40.747215
28 ST,6,IRT,-73.984264,40.74307
28 ST,NR,BMT,-73.988698,40.745454
3 AV,L,BMT,-73.98575,40.732691
3 AV 138 ST,6,IRT,-73.926138,40.810476
3 AV-149 ST,25,IRT,-73.91779153,40.81602925
30 AV,NQ,BMT,-73.921479,40.76677867
33 ST,6,IRT,-73.982076,40.746081
33 ST-RAWSON ST,7,IRT,-73.930997,40.744587
34 ST-HERALD SQ,BDFMNQR,BMT,-73.98793683,40.74964456
34 ST-HERALD SQ,BDFMNQR,IND,-73.98777189,40.7497894
34 ST-HUDSON YD,7,IRT,-74.00219709,40.75544636
34 ST-PENN STA,123,IRT,-73.991057,40.750373
