date,station,line,division,daily_ridership,pleasant_day
2016-07-31,59 ST,NQR456,BMT,7965,False
2016-08-01,59 ST,NQR456,BMT,15594,False
2016-08-02,59 ST,NQR456,BMT,17262,True
2016-08-03,59 ST,NQR456,BMT,17538,True
2016-08-04,59 ST,NQR456,BMT,17523,True
2016-08-05,59 ST,NQR456,BMT,17371,True
2016-08-06,59 ST,NQR456,BMT,10450,False
2016-08-07,59 ST,NQR456,BMT,8097,False
2016-08-08,59 ST,NQR456,BMT,15699,False
2016-08-09,59 ST,NQR456,BMT,17188,True
2016-08-10,59 ST,NQR456,BMT,17107,True
2016-08-11,59 ST,NQR456,BMT,17022,True
2016-08-12,59 ST,NQR456,BMT,16503,True
2016-08-13,59 ST,NQR456,BMT,10069,False
2016-08-14,59 ST,NQR456,BMT,8405,False
2016-08-15,59 ST,NQR456,BMT,14988,False
2016-08-16,59 ST,NQR456,BMT,16675,True
2016-08-17,59 ST,NQR456,BMT,16860,True
2016-08-18,59 ST,NQR456,BMT,16859,True
2016-08-19,59 ST,NQR456,BMT,16410,True
2016-08-20,59 ST,NQR456,BMT,9579,False
2016-08-21,59 ST,NQR456,BMT,7860,False
2016-08-22,59 ST,NQR456,BMT,15188,False
2016-08-23,59 ST,NQR456,BMT,16724,True
2016-08-24,59 ST,NQR456,BMT,16741,True
2016-08-25,59 ST,NQR456,BMT,16815,True
2016-08-26,59 ST,NQR456,BMT,16494,True
2016-08-27,59 ST,NQR456,BMT,9917,False
2016-08-28,59 ST,NQR456,BMT,7896,False
2016-08-29,59 ST,NQR456,BMT,15462,False
2016-08-30,59 ST,NQR456,BMT,16622,True
2016-08-31,59 ST,NQR456,BMT,16557,True
2016-09-01,59 ST,NQR456,BMT,16464,True
2016-09-02,59 ST,NQR456,BMT,15919,True
2016-09-03,59 ST,NQR456,BMT,9336,False
2016-09-04,59 ST,NQR456,BMT,7303,False
2016-09-05,59 ST,NQR456,BMT,7105,False
2016-09-06,59 ST,NQR456,BMT,15694,True
2016-09-07,59 ST,NQR456,BMT,17425,True
2016-09-08,59 ST,NQR456,BMT,18063,True
2016-09-09,59 ST,NQR456,BMT,17826,True
2016-09-10,59 ST,NQR456,BMT,10689,False
2016-09-11,59 ST,NQR456,BMT,8339,False
2016-09-12,59 ST,NQR456,BMT,16101,False
2016-09-13,59 ST,NQR456,BMT,18075,True
2016-09-14,59 ST,NQR456,BMT,18213,True
2016-09-15,59 ST,NQR456,BMT,18419,True
2016-09-16,59 ST,NQR456,BMT,18315,True
2016-09-17,59 ST,NQR456,BMT,11264,False
2016-09-18,59 ST,NQR456,BMT,8633,False
2016-09-19,59 ST,NQR456,BMT,16996,False
2016-09-20,59 ST,NQR456,BMT,19080,True
2016-09-21,59 ST,NQR456,BMT,19186,True
2016-09-22,59 ST,NQR456,BMT,18863,True
2016-09-23,59 ST,NQR456,BMT,18736,True
2016-09-24,59 ST,NQR456,BMT,11509,False
2016-09-25,59 ST,NQR456,BMT,8906,False
2016-09-26,59 ST,NQR456,BMT,16484,False
2016-09-27,59 ST,NQR456,BMT,17059,True
2016-09-28,59 ST,NQR456,BMT,17074,True
2016-09-29,59 ST,NQR456,BMT,18638,True
2016-09-30,59 ST,NQR456,BMT,18553,True
2016-10-01,59 ST,NQR456,BMT,11068,False
2016-10-02,59 ST,NQR456,BMT,8860,False
2016-10-03,59 ST,NQR456,BMT,15095,False
2016-10-04,59 ST,NQR456,BMT,17327,True
2016-10-05,59 ST,NQR456,BMT,18752,True
2016-10-06,59 ST,NQR456,BMT,18765,True
