date,temp_max,temp_min,temp_avg,precipitation,new_snow,snow_depth,month_day,has_precip
2014-08-01,84,71,77.5,0,0,0,Aug 01,False
2014-08-02,74,63,68.5,0.41,0,0,Aug 02,True
2014-08-03,76,66,71.0,0.07,0,0,Aug 03,True
2014-08-04,84,70,77.0,0,0,0,Aug 04,False
2014-08-05,90,71,80.5,0,0,0,Aug 05,False
2014-08-06,83,70,76.5,0,0,0,Aug 06,False
2014-08-07,83,66,74.5,0,0,0,Aug 07,False
2014-08-08,83,65,74.0,0,0,0,Aug 08,False
2014-08-09,87,66,76.5,0,0,0,Aug 09,False
2014-08-10,88,68,78.0,0,0,0,Aug 10,False
2014-08-11,87,71,79.0,0,0,0,Aug 11,False
2014-08-12,79,70,74.5,0.19,0,0,Aug 12,True
2014-08-13,82,68,75.0,0.53,0,0,Aug 13,True
2014-08-14,77,63,70.0,0,0,0,Aug 14,False
2014-08-15,73,61,67.0,0,0,0,Aug 15,False
2014-08-16,78,63,70.5,0,0,0,Aug 16,False
2014-08-17,82,66,74.0,0.01,0,0,Aug 17,True
2014-08-18,81,63,72.0,0,0,0,Aug 18,False
2014-08-19,83,63,73.0,0,0,0,Aug 19,False
2014-08-20,84,70,77.0,0,0,0,Aug 20,False
2014-08-21,83,65,74.0,0.35,0,0,Aug 21,True
2014-08-22,79,65,72.0,0.06,0,0,Aug 22,True
2014-08-23,77,67,72.0,0.01,0,0,Aug 23,True
2014-08-24,80,64,72.0,0,0,0,Aug 24,False
2014-08-25,88,64,76.0,0,0,0,Aug 25,False
2014-08-26,89,70,79.5,0,0,0,Aug 26,False
2014-08-27,90,70,80.0,0,0,0,Aug 27,False
2014-08-28,82,66,74.0,0,0,0,Aug 28,False
2014-08-29,80,61,70.5,0,0,0,Aug 29,False
2014-08-30,80,65,72.5,0,0,0,Aug 30,False
2014-08-31,90,73,81.5,0.62,0,0,Aug 31,True
2015-08-01,89,75,82.0,0,0,0,Aug 01,False
2015-08-02,89,71,80.0,0,0,0,Aug 02,False
2015-08-03,90,75,82.5,0,0,0,Aug 03,False
2015-08-04,89,69,79.0,0.43,0,0,Aug 04,True
2015-08-05,87,72,79.5,0,0,0,Aug 05,False
2015-08-06,83,67,75.0,0,0,0,Aug 06,False
2015-08-07,84,69,76.5,0,0,0,Aug 07,False
2015-08-08,82,68,75.0,0,0,0,Aug 08,False
2015-08-09,85,68,76.5,0,0,0,Aug 09,False
2015-08-10,84,70,77.0,0,0,0,Aug 10,False
2015-08-11,81,71,76.0,1.17,0,0,Aug 11,True
2015-08-12,85,71,78.0,0,0,0,Aug 12,False
2015-08-13,83,67,75.0,0,0,0,Aug 13,False
2015-08-14,88,67,77.5,0,0,0,Aug 14,False
2015-08-15,92,73,82.5,0,0,0,Aug 15,False
2015-08-16,93,76,84.5,0,0,0,Aug 16,False
2015-08-17,95,78,86.5,0,0,0,Aug 17,False
2015-08-18,90,73,81.5,0.29,0,0,Aug 18,True
2015-08-19,87,77,82.0,0,0,0,Aug 19,False
2015-08-20,86,77,81.5,0.01,0,0,Aug 20,True
2015-08-21,87,71,79.0,0.32,0,0,Aug 21,True
